;date;title;author;link;likes;comments;notes
0;19.06;Для эспрессо, американо и капучино: лучшие автоматические кофемашины;Юлия Скопич ;/best-coffee-machines/;25;106;40
1;19.06;10 проверенных ортопедических подушек: отзывы читателей;Юлия Коняхина ;/sleeping-pillows-2/;3;4;8
2;16.06;PocketBook 617: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/pocketbook-617/;1;···;2
3;16.06;PocketBook 617: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/pocketbook-617/;1;···;2
4;16.06;Digma K1: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/digma-k1/;1;···;1
5;16.06;Моя косметичка: как я ухаживаю за сухой кожей после переезда на север;Алиса ;/moving-north-skin-care/;5;3;5
6;15.06;Лучшие самокаты от 5000 ₽: городские, бездорожные и трюковые;Мария Киселева ;/best-scooters/;6;4;4
7;15.06;Onyx Boox Lomonosov: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/onyx-boox-lomonosov/;2;···;
8;15.06;PocketBook 740 Pro: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/pocketbook-740-pro/;2;···;
9;14.06;Топ одноразовых станков для бритья;Надежда Базанова ;/best-disposable-razors/;12;15;6
10;14.06;Apple Watch Series 7: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/apple-watch-7-about/;2;2;
11;14.06;Amazfit GTR 4: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/amazfit-gtr-4/;2;1;
12;13.06;Какой VR-шлем купить в 2023 году;Даниил Баздырев ;/best-vr/;3;8;1
13;13.06;Huawei Watch 3 Pro: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/huawei-watch-3-pro/;1;10;1
14;13.06;Samsung Galaxy Watch 4: характеристики, обзоры, частые вопросы о модели;Редакция «Сравнятор» ;/samsung-galaxy-watch-4/;1;1;
15;09.06;Моя косметичка: как я ухаживаю за проблемной кожей во время беременности;Транжира Владимировна ;/sensitive-skin-care-during-pregnancy-care/;7;7;7
16;09.06;Amazfit Bip U Pro: характеристики, обзоры, частые вопросы по модели;Редакция «Сравнятор» ;/amazfit-bip-u-pro/;1;···;3
17;09.06;Xiaomi Smart Band 8: характеристики, обзоры, частые вопросы по модели;Редакция «Сравнятор» ;/xiaomi-smart-band-8/;1;1;5
18;08.06;Лучшие наушники с костной проводимостью: как выбрать и какие купить;Альбина Павловская ;/s-kostnoj-provodimostu/;4;11;13
